genres,title
"['Action', 'Crime', 'Drama']",Thoughtcrimes
"['Drama', 'Foreign', 'Romance']",Water
"['Music', 'Drama']",The Temptations
"['Drama', 'History']",Sophie Scholl: The Final Days
"['Crime', 'Drama']",The Big House
['Comedy'],Uuno Turhapuro armeijan leivissä
"['Comedy', 'Drama', 'Documentary']",Matti: Hell Is for Heroes
['Drama'],The World's Fastest Indian
"['Drama', 'Action', 'Thriller', 'Crime', 'Romance']",As Tears Go By
"['Action', 'Comedy', 'Western', 'Crime']",Bandidas
"['Crime', 'Drama']",Made in Britain
"['Comedy', 'Drama']",A Cock and Bull Story
"['Drama', 'Romance']",The Bitter Tea of General Yen
['Documentary'],Charlie: The Life and Art of Charles Chaplin
['Comedy'],Wilby Wonderful
"['Drama', 'Thriller', 'Romance', 'Foreign']",The Mystery of Rampo
['Comedy'],French Fried Vacation
['Drama'],Annapolis
"['Comedy', 'Crime']",Big Momma's House 2
"['Fantasy', 'Comedy', 'Family']",Nanny McPhee
"['Horror', 'Thriller', 'Mystery']",The Dark
"['Drama', 'Science Fiction', 'Thriller']",Panic in Year Zero!
"['Comedy', 'Music', 'Romance']",Here Comes the Groom
['Thriller'],Julie
"['Comedy', 'Music', 'Romance']",Tea for Two
"['Drama', 'Adventure', 'Romance']",Green Dolphin Street
"['Adventure', 'Comedy', 'Family']",Lt. Robin Crusoe U.S.N.
"['Drama', 'Comedy', 'Music']",Bye Bye Birdie
"['Comedy', 'Documentary']",The Comedians of Comedy
"['Crime', 'Drama', 'Comedy', 'Thriller']",The Honey Pot
"['TV Movie', 'Drama', 'History', 'War']",The Tuskegee Airmen
"['Horror', 'Mystery']",Final Destination 3
"['Drama', 'Music']",I Could Go on Singing
"['Comedy', 'Drama', 'Romance']",Something New
"['Comedy', 'Crime']",Free Money
"['Drama', 'Romance', 'Western']",The Wind
"['Comedy', 'Documentary', 'Music']",Dave Chappelle's Block Party
"['Drama', 'Romance']",Madame Curie
"['Drama', 'Crime', 'Music', 'Romance', 'Foreign']",Orfeu
['Drama'],The Sex of the Stars
"['Drama', 'Comedy', 'Romance']",Imagine Me & You
"['Crime', 'Drama', 'Romance']",Mississippi Mermaid
['Comedy'],Good Old Daze
"['Crime', 'Drama']",Place Vendome
['Western'],Broken Lance
"['Drama', 'Comedy', 'Romance']",Sabah
"['Horror', 'Thriller', 'Fantasy']",The Call of Cthulhu
"['Fantasy', 'Horror']",Troll
"['Drama', 'Action', 'Thriller', 'Crime']",The Business
"['Adventure', 'Animation', 'Comedy', 'Family']",Curious George
['Thriller'],Firewall
['Comedy'],The Great McGinty
['Comedy'],Le créateur
"['Documentary', 'Foreign']",The White Diamond
['Drama'],Tony Takitani
"['Fantasy', 'Horror', 'Thriller']",Tamara
"['Drama', 'Action', 'Romance']",London
"['Documentary', 'Music']",Neil Young: Heart of Gold
"['Drama', 'Thriller', 'Crime', 'Mystery']",Freedomland
"['Comedy', 'Drama']",Winter Passing
"['Adventure', 'Drama', 'Family']",Eight Below
['Comedy'],Date Movie
"['Drama', 'Comedy', 'Romance']",Madea's Family Reunion
['Family'],Doogal
"['Science Fiction', 'Action', 'Thriller']",Ultraviolet
"['Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",Just My Luck
['Documentary'],Deep Sea 3D
"['Action', 'Adventure', 'Crime', 'Thriller']",16 Blocks
"['Romance', 'Comedy', 'Drama']",Agatha and the Storm
"['Comedy', 'Romance']",Bongwater
"['Mystery', 'Thriller', 'Drama', 'Horror']",Half Light
['Documentary'],Twist of Faith
['Comedy'],Failure to Launch
"['Action', 'Animation', 'Adventure', 'Science Fiction']",Ultimate Avengers
"['Animation', 'Family', 'Comedy', 'Adventure']",Ice Age: The Meltdown
"['Comedy', 'Crime', 'Drama']",The Big White
['Drama'],Stromboli
['Action'],Shinobi: Heart Under Blade
['Drama'],Every Man for Himself
['Documentary'],Chronos
"['Adventure', 'Fantasy', 'Drama', 'Science Fiction', 'Family']",Five Children and It
['Drama'],Free Zone
"['Action', 'Adventure', 'Drama', 'Western']",The Naked Spur
"['Comedy', 'Family', 'Romance']",The Prince & Me 2: The Royal Wedding
"['Drama', 'Romance']",Ask the Dust
"['Action', 'Thriller', 'Fantasy']",V for Vendetta
"['Comedy', 'Drama', 'Family', 'Romance']",She's the Man
"['Comedy', 'Drama']",Thank You for Smoking
['Drama'],Find Me Guilty
"['Crime', 'Drama', 'Thriller']",Inside Man
"['Crime', 'Drama']",Tsotsi
"['Fantasy', 'Romance', 'Family', 'Comedy']",Aquamarine
['Science Fiction'],The Illustrated Man
"['Comedy', 'Horror']",Leprechaun 2
"['Comedy', 'Fantasy', 'Horror']",Leprechaun 3
"['Comedy', 'Fantasy', 'Horror', 'Science Fiction']",Leprechaun 4: In Space
['Horror'],Leprechaun in the Hood
['Drama'],The Dark at the Top of the Stairs
"['Romance', 'Drama', 'Crime', 'Thriller']",Story of a Love Affair
['Comedy'],The Man Who Sued God
"['Crime', 'Drama']",Lights in the Dusk
['Comedy'],Kummeli Stories
"['Thriller', 'Crime']",Stranger on the Third Floor
['Documentary'],A Personal Journey with Martin Scorsese Through American Movies
"['Comedy', 'Crime']",Inspector Clouseau
['Comedy'],Son of the Pink Panther
['Documentary'],Unknown White Male
"['Drama', 'Thriller']",The Lives of Others
"['Drama', 'War', 'Foreign']",The Red and the White
"['Thriller', 'Action']",City on Fire
"['Crime', 'Drama']","Goodbye South, Goodbye"
['Documentary'],Nanook of the North
['Horror'],Don't Torture a Duckling
"['Drama', 'Fantasy']",Resurrection
"['Drama', 'Action', 'Crime', 'Mystery', 'Foreign']",Youth of the Beast
"['Drama', 'War']",Go Tell the Spartans
"['Drama', 'Action', 'Thriller']",They Call Me Mister Tibbs!
['Music'],Take the Lead
"['Drama', 'Romance']",The Lacemaker
['Documentary'],The Devil and Daniel Johnston
"['Crime', 'Drama']",L’argent
"['Drama', 'History']",The Trial of Joan of Arc
['Drama'],Mouchette
"['Drama', 'Comedy']",The Caiman
"['Drama', 'Thriller', 'Crime', 'Mystery']",Lucky Number Slevin
"['Drama', 'Science Fiction']",The Wild Blue Yonder
['Documentary'],Wheel of Time
['Documentary'],Riot On!
"['Comedy', 'Drama', 'Romance']",Volver
['Drama'],Akeelah and the Bee
"['Comedy', 'Romance']",Lisbela and the Prisoner
"['Horror', 'Thriller']",Urban Legends: Bloody Mary
['Comedy'],Larry the Cable Guy: Health Inspector
"['Horror', 'Thriller']",Stay Alive
"['Drama', 'Western']",Annie Oakley
"['Crime', 'Mystery', 'Thriller']",Basic Instinct 2
"['Drama', 'Mystery']",Brick
"['Adventure', 'Fantasy', 'Family']",The Brothers Lionheart
"['Horror', 'Comedy']",The Dead Hate the Living!
"['Comedy', 'Horror', 'Science Fiction']",Evil Aliens
"['Comedy', 'Fantasy', 'Horror']",Santa's Slay
"['Horror', 'Science Fiction', 'Thriller']",The Dark Hours
['Documentary'],This Film Is Not Yet Rated
"['Horror', 'Thriller']",Fragile
['Drama'],ATL
"['Action', 'Drama', 'Thriller']",The Brotherhood of Justice
['Comedy'],The Benchwarmers
"['Comedy', 'Romance']",Phat Girlz
"['Action', 'Animation', 'Science Fiction']",Renaissance
['Comedy'],Go for Zucker
['Horror'],The Curse of the Werewolf
"['Thriller', 'Adventure', 'Action', 'Comedy']",Dead Fish
"['Comedy', 'Drama', 'Romance']",Friends with Money
"['Drama', 'History', 'Music']",The King Is Dancing
['Drama'],Keane
"['Comedy', 'Music']",Reefer Madness: The Movie Musical
"['Drama', 'Mystery']",I Love Your Work
"['Drama', 'Music', 'Romance']",Beauty and the Bastard
"['Crime', 'Horror']",Dementia
"['Drama', 'Horror', 'Thriller']",Magic
"['Thriller', 'Drama']",Secrets of a Soul
"['Romance', 'Drama']",The Child
['Documentary'],9/11
"['Drama', 'War']","Lacombe, Lucien"
"['Drama', 'Family']",Hoot
"['Drama', 'Family']",Where the Red Fern Grows
['Comedy'],Scary Movie 4
"['Drama', 'Thriller']",Hard Candy
"['Horror', 'Thriller', 'Western']",Dead Birds
"['Comedy', 'Drama']",La Chinoise
"['Fantasy', 'Horror', 'Mystery', 'Thriller']",Shutter
"['Drama', 'Comedy', 'Music']",A Prairie Home Companion
"['Crime', 'Drama']",Even Money
['Drama'],The Chess Players
"['Animation', 'Adventure', 'Family']",Pinocchio and the Emperor of the Night
"['Action', 'Adventure', 'Comedy']",Corvette Summer
['Comedy'],The President's Last Bang
"['Family', 'Animation']",The Wild
"['Romance', 'Drama']",My Brother's Wife
"['Horror', 'Mystery']",Silent Hill
['Drama'],Battle in Heaven
"['Comedy', 'Drama', 'Family']",American Dreamz
"['Romance', 'Drama']",Hôtel du Nord
"['Drama', 'Mystery', 'Thriller']",Irresistible
"['Drama', 'Action', 'Thriller', 'Romance']",Mata Hari
"['Drama', 'Thriller']",23
"['Comedy', 'Drama']",Kinky Boots
"['Crime', 'Drama', 'Thriller']",The Glass Key
"['Action', 'Crime', 'Drama', 'Thriller']",The Protector
"['Adventure', 'Action', 'Thriller']",Mission: Impossible III
"['Music', 'Comedy', 'Drama', 'Romance']",The Wayward Cloud
"['Adventure', 'Drama', 'Fantasy']",Die Nibelungen: Siegfried
"['Adventure', 'Drama', 'Fantasy']",Die Nibelungen: Kriemhild's Revenge
"['Thriller', 'Drama']",The Coast Guard
['Comedy'],RV
"['Drama', 'History', 'Crime', 'Thriller', 'Action']",United 93
"['Comedy', 'Drama']",Stick It
"['Crime', 'Drama', 'Thriller']",Secret Beyond the Door
['Drama'],Man Push Cart
['Drama'],The World
"['Action', 'Drama', 'Romance', 'Western']",Soldier Blue
"['Comedy', 'Music', 'Romance']",Footlight Parade
"['Comedy', 'Documentary']",LolliLove
"['Horror', 'Thriller']",An American Haunting
"['Drama', 'Romance']",Down in the Valley
"['Drama', 'Romance']",The Hidden Blade
"['Comedy', 'Animation', 'Family']",Over the Hedge
"['Comedy', 'Drama']",Art School Confidential
"['Adventure', 'Action', 'Drama', 'Thriller']",Poseidon
"['Thriller', 'Mystery']",The Da Vinci Code
"['Adventure', 'Action', 'Science Fiction', 'Thriller']",X-Men: The Last Stand
"['Romance', 'Comedy']",The Break-Up
"['Drama', 'Romance']",Peaceful Warrior
['Drama'],Twelve and Holding
['Drama'],Wah-Wah
['Comedy'],Keeping Up with the Steins
"['Animation', 'Adventure', 'Comedy', 'Family']",Cars
['Drama'],Wassup Rockers
"['Drama', 'Romance']",The Lost City
"['Comedy', 'Drama', 'Romance']",Standing Still
"['Action', 'Adventure', 'Drama', 'Thriller']",Carlito's Way: Rise to Power
"['Drama', 'Animation', 'Comedy']",Conspirators of Pleasure
['Western'],Tall in the Saddle
"['Crime', 'Drama']",Beyond a Reasonable Doubt
"['Action', 'Adventure', 'Fantasy']",Sinbad of the Seven Seas
['Drama'],The Earth Is a Sinful Song
['Drama'],Shanghai Dreams
"['Action', 'Western', 'Romance']",Vera Cruz
"['Comedy', 'Drama']",The Notorious Bettie Page
"['Action', 'Thriller']",The Mechanik
"['Comedy', 'Drama']",Parting Glances
"['Comedy', 'Drama']",Game 6
['Drama'],American Gun
"['Comedy', 'Drama', 'Romance']",Marilyn Hotchkiss' Ballroom Dancing & Charm School
['Drama'],On a Clear Day
['Drama'],The King
"['Comedy', 'Family']",Nacho Libre
"['Romance', 'Drama', 'Mystery']",The Lake House
"['Comedy', 'Drama', 'Fantasy', 'Romance']",Click
"['Drama', 'Horror', 'Mystery']",The Seventh Victim
"['Comedy', 'Drama']",Bleak Moments
"['Drama', 'History', 'Mystery']",Edvard Munch
"['Comedy', 'Drama', 'Romance']",The Devil Wears Prada
"['Adventure', 'Fantasy', 'Action']",Pirates of the Caribbean: Dead Man's Chest
"['Comedy', 'Romance']","You, Me and Dupree"
['Comedy'],Clerks II
"['Drama', 'Thriller', 'Fantasy', 'Mystery']",Lady in the Water
"['Fantasy', 'Drama', 'Action', 'Comedy', 'Crime', 'Science Fiction']",My Super Ex-Girlfriend
"['Comedy', 'Romance']",Tammy and the Bachelor
"['Crime', 'Mystery', 'Romance', 'Thriller']",Lady on a Train
['Horror'],Nightmare Castle
"['Documentary', 'Music']",Let It Be
"['Drama', 'Comedy', 'Romance', 'Foreign']","Farewell, Home Sweet Home"
"['Drama', 'History']",Marie Antoinette
"['Mystery', 'Thriller', 'Crime']",Lady in the Lake
"['War', 'Drama']",Trial on the Road
['Documentary'],Who Killed the Electric Car?
"['Drama', 'Comedy']",The Miracle of Bern
"['Drama', 'Romance']",The Mother and the Whore
['Documentary'],An Inconvenient Truth
"['Drama', 'Romance']",Test Pilot
"['Drama', 'Comedy', 'Romance']",Career Opportunities
"['Horror', 'Action', 'Thriller', 'Science Fiction']",Hollow Man II
['Documentary'],Chuck Berry: Hail! Hail! Rock 'n' Roll
"['Drama', 'Thriller', 'Music']",Psych-Out
['Comedy'],National Lampoon's Cattle Call
['Drama'],Sister Kenny
"['Drama', 'Action', 'Foreign']",Mountain Patrol
"['Comedy', 'Drama', 'Family', 'Music', 'TV Movie']",High School Musical
['Fantasy'],Drawing Restraint 9
"['Documentary', 'Music']",Crossing the Bridge: The Sound of Istanbul
"['Comedy', 'Romance']",I Am a Sex Addict
['Drama'],Lower City
"['Crime', 'Drama', 'Romance', 'Thriller']",Forever Mine
"['Comedy', 'Crime', 'Drama']",The Ax
"['Comedy', 'Romance']",Adam & Steve
['Comedy'],Bob the Butler
['Horror'],Jack Frost 2: Revenge of the Mutant Killer Snowman
['Drama'],Stoned
"['Drama', 'Action', 'Thriller', 'Crime']",Marked Woman
['Drama'],Running
"['Drama', 'Comedy']",Blessed Event
"['Adventure', 'Romance', 'Drama']",Susan Lenox (Her Fall and Rise)
"['Comedy', 'Drama']",The Adjuster
"['Action', 'Crime', 'Drama', 'Thriller']",The Fast and the Furious: Tokyo Drift
"['Animation', 'Comedy', 'Family']",Garfield: A Tail of Two Kitties
"['Documentary', 'Music']",Metal: A Headbanger's Journey
"['Comedy', 'Drama']",Summer in Berlin
"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",The Public Eye
"['Crime', 'Drama']",The Bribe
"['Romance', 'Comedy']",Without Love
"['Action', 'Adventure', 'Drama', 'Thriller']",Waist Deep
"['Comedy', 'Science Fiction']",The Sheriff and the Satellite Kid
"['Action', 'Adventure', 'Thriller']",Triple Cross
"['Action', 'Crime', 'Drama', 'Western']",Mad Dog Morgan
"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Superman Returns
"['History', 'Romance', 'Drama']",Edward II
"['Documentary', 'Drama']",The Road to Guantanamo
['Documentary'],Leonard Cohen: I'm Your Man
"['Drama', 'Thriller']",Edmond
"['Comedy', 'Drama', 'Romance']",The Oh in Ohio
"['Comedy', 'Drama']",Little Miss Sunshine
"['Music', 'Drama']",Brothers of the Head
['Documentary'],Forgiving Dr. Mengele
"['Comedy', 'Drama']",Fuse
"['Crime', 'Comedy']",Curse of the Pink Panther
"['Horror', 'Science Fiction', 'Thriller']",Mimic: Sentinel
"['Horror', 'Music']",Rock 'n' Roll Nightmare
"['Comedy', 'Drama', 'Romance']",These Girls
['Drama'],Why Does Herr R. Run Amok?
"['Documentary', 'Music']",Instrument: Ten Years with the Band Fugazi
"['Action', 'Drama', 'History']",The 300 Spartans
"['Drama', 'Mystery', 'Thriller']",The Fallen Idol
"['Crime', 'Thriller']",Desperate
"['Crime', 'Drama']",Knock on Any Door
['Drama'],Babel
"['Adventure', 'Action', 'Romance']",China Seas
['Drama'],I Walk the Line
['Adventure'],The Thief Lord
['Comedy'],The Girl Can't Help It
"['Action', 'Science Fiction']",Krrish
['Comedy'],Strangers with Candy
"['Horror', 'Science Fiction']",Prophecy
"['Drama', 'Action', 'Thriller']",The Kremlin Letter
"['History', 'Drama']",Young Mr. Lincoln
"['Horror', 'Science Fiction', 'Thriller']",Subject Two
"['Action', 'Thriller']",Blackjack
"['Crime', 'Drama', 'Foreign', 'Romance']",Three Times
"['Action', 'Adventure', 'Comedy']",The Gumball Rally
['Documentary'],Wordplay
"['War', 'Drama']",Army of Shadows
"['Foreign', 'Drama']",Orchestra Rehearsal
"['Comedy', 'Crime']",Little Man
"['Romance', 'Music', 'Comedy']",Dames
"['Comedy', 'Drama', 'Music', 'Romance']",Dancing Lady
"['Drama', 'Action', 'Adventure', 'War']",The Purple Plain
"['Action', 'Animation', 'Comedy', 'Crime', 'Drama']",Coonskin
"['Fantasy', 'Horror', 'Romance']",Whispering Corridors 2: Memento Mori
"['Action', 'Mystery', 'Thriller']",End Game
"['Adventure', 'Drama']",End of the Spear
['Romance'],Two for the Seesaw
"['Drama', 'Mystery', 'Thriller']",The Detective
"['Animation', 'Comedy', 'Family', 'Fantasy']",Monster House
"['Comedy', 'Drama']",Wrong Side Up
"['Comedy', 'Romance']",How Much Do You Love Me?
"['Comedy', 'Drama']",Colour Me Kubrick
['Comedy'],Death of a Bureaucrat
"['Action', 'Crime', 'Horror', 'Thriller']",Snakes on a Plane
"['Comedy', 'Mystery']",Scoop
['Comedy'],Talladega Nights: The Ballad of Ricky Bobby
"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",Night at the Museum
"['Drama', 'History', 'Thriller']",World Trade Center
"['Comedy', 'Drama', 'Fantasy', 'Romance']",Stranger Than Fiction
['Drama'],The Valley of Decision
['Drama'],The Last Angry Man
"['Comedy', 'Romance']",The Good Fairy
"['Comedy', 'Romance']",Sione's Wedding
"['Action', 'Adventure', 'Crime', 'Thriller']",Miami Vice
"['Comedy', 'Romance']",The Groomsmen
"['Action', 'Crime', 'Drama', 'Thriller']",Shadowboxer
"['Drama', 'Action', 'Thriller']",Each Dawn I Die
"['Drama', 'Family']",Loch Ness
['Drama'],"Good Morning, Night"
['Drama'],Live and Become
"['Crime', 'Drama', 'Thriller']",On Dangerous Ground
['Drama'],The Pursuit of Happyness
"['Romance', 'Comedy', 'Action']",Tears of the Black Tiger
['Comedy'],John Tucker Must Die
"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",The Ant Bully
"['Thriller', 'Fantasy', 'Drama', 'Horror']",Warning Shadows
['Drama'],Leaves from Satan's Book
"['Comedy', 'Crime']",Lady Killer
"['Comedy', 'Drama']",Mrs Palfrey at The Claremont
"['Comedy', 'Drama']",The Death of Mr. Lazarescu
['Drama'],Cría Cuervos
"['Documentary', 'Drama']",Ciao! Manhattan
"['Action', 'Thriller', 'Crime']",Crank
"['Drama', 'Romance']",The Secret Life of Words
"['Action', 'Comedy', 'Foreign']",The Dudesons Movie
"['Adventure', 'Drama']",Black Gold
"['Action', 'Crime', 'Drama']",Johnny Was
"['Thriller', 'Crime', 'Foreign']",Played
"['Drama', 'Thriller']",The Night Listener
"['Animation', 'Comedy', 'Family']",Barnyard
"['Comedy', 'Drama', 'Romance']",Murmur of the Heart
['Mystery'],They Won't Believe Me
['Drama'],The Left Hand of God
"['Crime', 'Drama']",Compulsion
"['War', 'Thriller', 'Comedy', 'Drama', 'Mystery']",A Canterbury Tale
"['Action', 'Adventure', 'Crime']",Dirty Mary Crazy Larry
['Drama'],Angels Over Broadway
"['Music', 'Drama', 'Romance', 'Crime']",Step Up
"['Family', 'Fantasy', 'Comedy']",Zoom
"['Action', 'Comedy', 'Crime']",Bon Cop Bad Cop
"['Comedy', 'Fantasy', 'Romance']",Tom Dick and Harry
"['Adventure', 'Animation', 'Mystery']",Mind Game
"['Drama', 'Thriller']",Land of the Blind
['Drama'],Half Nelson
"['Thriller', 'Drama', 'Mystery']",The Moustache
"['Romance', 'Action', 'Comedy']",Wing Chun
"['Action', 'Comedy', 'Science Fiction']",Executioners
"['Action', 'Fantasy']",The Legend of the Swordsman
"['Action', 'Comedy']",Peking Opera Blues
"['Fantasy', 'Drama', 'Thriller', 'Science Fiction']",Tideland
"['Comedy', 'Music', 'Romance']",Good News
"['Action', 'Thriller']",Thunderbolt
"['Action', 'Adventure', 'Crime', 'Drama']",G-Men
"['Drama', 'Comedy', 'Crime']",Adam's Apples
"['Fantasy', 'Music']",Cabin in the Sky
['Drama'],2:37
['Comedy'],Material Girls
['Comedy'],Accepted
['Drama'],Lie with Me
"['Action', 'Comedy']",Crime Busters
['Comedy'],Att stjäla en tjuv
['Comedy'],Drömkåken
"['Comedy', 'Drama']",Shake It
"['Crime', 'Drama', 'Thriller']",Born to Kill
"['Drama', 'Romance']",Heading South
"['Action', 'Adventure', 'Drama', 'Western']",Seven Men from Now
"['Comedy', 'Family']",Captain January
"['Fantasy', 'Drama', 'Thriller', 'Romance']",The Illusionist
"['Action', 'Adventure', 'Comedy', 'Romance']",Adventures of Don Juan
"['Comedy', 'Drama', 'Romance']",State of the Union
"['Action', 'Drama']",San Quentin
['Drama'],The Queen
"['Crime', 'Drama', 'Thriller']",36th Precinct
['Comedy'],Beerfest
"['Comedy', 'Drama', 'Family']",How to Eat Fried Worms
"['Crime', 'Drama', 'Music']",Idlewild
"['Comedy', 'Crime']",A Slight Case of Murder
['Drama'],The Syrian Bride
['Drama'],"Sorry, Haters"
"['Music', 'Comedy']",The Ritz
"['Comedy', 'Romance']",My Geisha
"['Fantasy', 'Drama', 'Comedy', 'Romance']",Blithe Spirit
"['Action', 'Comedy']",The Music Box
"['Fantasy', 'Drama', 'Family']",The Red Balloon
"['Comedy', 'Western', 'Music']",Way Out West
"['Romance', 'Comedy', 'Drama', 'Fantasy']",Angel-A
"['Drama', 'Mystery', 'Thriller']",Green for Danger
['Comedy'],A Chump at Oxford
"['Comedy', 'War']",Block-Heads
['Comedy'],The Icicle Thief
['Drama'],Quinceañera
"['Drama', 'Comedy']",Mutual Appreciation
"['Action', 'Adventure', 'Drama']",Crossover
"['Drama', 'Thriller']",The Quiet
['Documentary'],Sketches of Frank Gehry
"['Adventure', 'Drama', 'Fantasy', 'Family']",Ronja Robbersdaughter
"['Action', 'Comedy']",Framed
"['Comedy', 'Drama']",Breaking Out
['Comedy'],Yrrol
"['Drama', 'History', 'War']",The Wind That Shakes the Barley
"['Action', 'Western', 'Drama']",Blood on the Moon
"['Drama', 'Romance']",Le Notti Bianche
"['War', 'Drama']",Fateless
"['Drama', 'Action', 'Western']",The Bravados
"['Drama', 'History']",The Sign of the Cross
"['Comedy', 'Crime', 'Drama']",The Criminal Life of Archibaldo de la Cruz
"['War', 'Drama', 'History']",Overlord
"['Horror', 'Comedy', 'Thriller']",Severance
['Drama'],Time to Leave
"['Drama', 'Thriller', 'Crime']",Hollywoodland
"['Action', 'Adventure', 'Fantasy', 'Horror', 'Science Fiction', 'Thriller']",The Covenant
"['Western', 'Crime', 'Drama', 'History']",Jesse James
['Drama'],The Scar
"['Action', 'Comedy', 'Drama', 'Foreign', 'Romance', 'Thriller']",Gabrielle
"['Comedy', 'Drama', 'Romance']",Trust the Man
['Drama'],Sherrybaby
"['Horror', 'Comedy', 'Foreign']",Bio Zombie
"['Adventure', 'Comedy', 'Science Fiction']",Idiocracy
['Documentary'],Jesus Camp
"['Drama', 'Romance']",The Bow
"['Adventure', 'Drama', 'History']",The Crusades
"['Comedy', 'Drama', 'Romance']",The Tiger and the Snow
"['Crime', 'Drama', 'Romance', 'Thriller']",Pretty Poison
"['Drama', 'Adventure', 'Science Fiction', 'Romance']",The Fountain
['Comedy'],Fear City: A Family-Style Comedy
"['Drama', 'Crime']",Assassin(s)
"['Drama', 'Western']",Union Pacific
"['Animation', 'Comedy', 'Family']",A Boy Named Charlie Brown
['Family'],"Snoopy, Come Home"
"['TV Movie', 'War', 'Drama']",A Soldier's Sweetheart
"['Comedy', 'Drama', 'Fantasy']",The Science of Sleep
"['Music', 'Drama', 'Crime']",City for Conquest
"['Action', 'Crime', 'Thriller', 'Drama']",Initial D
['Thriller'],Wicked
"['Action', 'Drama', 'War']",The Long Voyage Home
"['Drama', 'Romance']",Not as a Stranger
['Drama'],The Black Dahlia
"['Mystery', 'Horror', 'Thriller']",The Woods
"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",Everyone's Hero
"['Action', 'Adventure', 'Crime', 'Drama']",Gridiron Gang
['Drama'],The Seventh Continent
"['Comedy', 'Foreign', 'Drama']",Aaltra
"['Music', 'Comedy', 'Fantasy']",Wonder Man
"['Drama', 'Foreign', 'Thriller']",Lisbon Story
"['Drama', 'History', 'War']",Land of Plenty
"['Drama', 'Thriller', 'Mystery']",Lemming
"['Drama', 'Horror', 'Comedy']",Taxidermia
"['Adventure', 'Action', 'Drama', 'Crime']",Yuva
['Documentary'],Mondo Topless
"['Comedy', 'Drama', 'Romance']",Vixen!
"['Drama', 'Romance']",Empire Falls
['Drama'],Piccadilly
"['Comedy', 'Drama', 'Romance', 'History']",The Private Life of Henry VIII
"['Action', 'Adventure', 'Drama', 'Thriller']",Apocalypto
"['Drama', 'Romance']",Raintree County
"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",Flyboys
"['Action', 'Comedy', 'Documentary']",Jackass Number Two
"['Drama', 'Romance']",Conversations with Other Women
"['Animation', 'Family', 'Adventure']",The Land Before Time II: The Great Valley Adventure
"['History', 'Drama']",Father Sergius
"['History', 'Drama']",The Assault
['Comedy'],Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
['Documentary'],Iraq for Sale: The War Profiteers
"['Fantasy', 'Drama', 'War']",Pan's Labyrinth
"['Action', 'Adventure']",The Conqueror
['Comedy'],Romy and Michele: In the Beginning
"['Comedy', 'Drama']",St. Martin's Lane
"['Adventure', 'Comedy', 'Science Fiction']",G.O.R.A.
"['Drama', 'Thriller', 'Crime']",The Departed
['Horror'],The Texas Chainsaw Massacre: The Beginning
"['Adventure', 'Action', 'Family']",Stormbreaker
"['Action', 'Adventure', 'Drama']",Sirocco
"['Drama', 'Foreign']","Hawaii, Oslo"
['Drama'],Dante's Inferno
"['Thriller', 'Crime', 'Drama']",Antibodies
"['Adventure', 'Horror', 'Science Fiction']",Dr. Cyclops
"['Drama', 'Comedy']",Running with Scissors
"['Drama', 'Action', 'Thriller', 'Crime']",Dillinger
"['Crime', 'Drama']",Brute Force
"['Comedy', 'Drama']",Ellie Parker
"['Horror', 'Thriller']",The Grudge 2
"['Action', 'Adventure', 'Drama', 'Thriller']",The Marine
['Drama'],Infamous
['Drama'],One Night with the King
['Documentary'],Once in a Lifetime: The Extraordinary Story of the New York Cosmos
"['Drama', 'History', 'Romance']",Fellini's Casanova
"['Drama', 'History', 'War']",The Howards of Virginia
"['History', 'Documentary', 'Foreign']",The Last Bolshevik
"['Comedy', 'Drama', 'History', 'War']",Chapayev
"['Drama', 'Romance']",The Elementary Particles
['Comedy'],Jackpot
"['Action', 'Comedy', 'Horror']",Feast
"['Drama', 'Comedy', 'Foreign']",Offside
"['Romance', 'Drama']",Little Children
"['Crime', 'Documentary']",Deliver Us from Evil
"['Drama', 'Action']",F.I.S.T.
['Drama'],Facing the Giants
"['Comedy', 'Drama']",Broadway Bill
['Drama'],The Last King of Scotland
['Documentary'],The U.S. vs. John Lennon
"['Romance', 'Drama', 'Comedy']",Shortbus
"['Crime', 'Foreign', 'Thriller']",3 Blind Mice
"['Drama', 'Action', 'Thriller', 'Science Fiction']",Children of Men
"['Drama', 'Mystery', 'Thriller']",The Prestige
"['War', 'Drama', 'History']",Flags of Our Fathers
['Drama'],Flicka
"['Drama', 'Comedy', 'Romance']",Sleeping Dogs Lie
"['Comedy', 'Drama']",After Five In The Forest Primeval
"['Drama', 'History', 'War', 'Action']",9th Company
"['Action', 'Romance', 'Adventure', 'Thriller', 'Fantasy']",Jade Warrior
"['Action', 'Drama', 'Thriller']",Spies
"['Crime', 'Drama']",A Guide To Recognizing Your Saints
['Action'],Azumi 2: Death or Love
"['Action', 'Thriller']",13 Tzameti
"['Horror', 'Thriller', 'Crime']",Saw III
"['Action', 'Drama', 'Thriller']",Catch a Fire
